# time E '0' '1' 'A'
 0.000000E+00 0 0.000000 10.000000 0.000000
 2.607268E-02 1 1.000000 9.000000 0.000000
 9.227005E-02 2 2.000000 8.000000 0.000000
 1.330525E-01 3 3.000000 7.000000 0.000000
 1.741767E-01 4 4.000000 6.000000 0.000000
 3.212808E-01 5 4.000000 6.000000 0.000000
 4.052651E-01 6 3.000000 7.000000 0.000000
 4.878449E-01 7 2.000000 8.000000 0.000000
 5.224384E-01 8 3.000000 7.000000 0.000000
 5.271443E-01 9 2.000000 8.000000 0.000000
 5.317666E-01 10 3.000000 7.000000 0.000000
 5.542885E-01 11 4.000000 6.000000 0.000000
 8.020031E-01 12 5.000000 5.000000 0.000000
 8.663460E-01 13 6.000000 4.000000 0.000000
 8.946298E-01 14 6.000000 4.000000 0.000000
 8.978136E-01 15 7.000000 3.000000 0.000000
 9.714073E-01 16 8.000000 2.000000 0.000000
 1.045945E+00 17 7.000000 3.000000 0.000000
 1.074042E+00 18 6.000000 4.000000 0.000000
 1.214740E+00 19 7.000000 3.000000 0.000000
 1.635921E+00 20 8.000000 2.000000 0.000000
 1.705748E+00 21 7.000000 3.000000 0.000000
 1.721507E+00 22 6.000000 4.000000 0.000000
 1.745479E+00 23 5.000000 5.000000 0.000000
 1.769852E+00 24 5.000000 5.000000 0.000000
 1.820375E+00 25 4.000000 6.000000 0.000000
 1.854028E+00 26 5.000000 5.000000 0.000000
 1.879711E+00 27 4.000000 6.000000 0.000000
 1.894259E+00 28 5.000000 5.000000 0.000000
 2.026781E+00 29 4.000000 6.000000 0.000000
 2.343524E+00 30 3.000000 7.000000 0.000000
 2.392735E+00 31 3.000000 7.000000 0.000000
 2.424088E+00 32 4.000000 6.000000 0.000000
 2.521994E+00 33 5.000000 5.000000 0.000000
 2.589819E+00 34 5.000000 5.000000 0.000000
 2.831191E+00 35 6.000000 4.000000 0.000000
 2.977651E+00 36 5.000000 5.000000 0.000000
 3.229386E+00 37 5.000000 5.000000 0.000000
 3.304426E+00 38 6.000000 4.000000 0.000000
 3.621505E+00 39 7.000000 3.000000 0.000000
 3.627641E+00 40 6.000000 4.000000 0.000000
 3.706699E+00 41 5.000000 5.000000 0.000000
 3.803448E+00 42 4.000000 6.000000 0.000000
 3.842556E+00 43 5.000000 5.000000 0.000000
 3.895125E+00 44 6.000000 4.000000 0.000000
 4.040312E+00 45 7.000000 3.000000 0.000000
 4.309286E+00 46 7.000000 3.000000 0.000000
 4.364458E+00 47 8.000000 2.000000 0.000000
 4.544455E+00 48 7.000000 3.000000 0.000000
 4.632308E+00 49 6.000000 4.000000 0.000000
 4.715728E+00 50 5.000000 5.000000 0.000000
 4.730193E+00 51 4.000000 6.000000 0.000000
 4.817568E+00 52 4.000000 6.000000 0.000000
 4.819984E+00 53 5.000000 5.000000 0.000000
 4.860891E+00 54 6.000000 4.000000 0.000000
 4.992026E+00 55 5.000000 5.000000 0.000000
 5.110614E+00 56 6.000000 4.000000 0.000000
 5.266471E+00 57 5.000000 5.000000 0.000000
 5.492561E+00 58 4.000000 6.000000 0.000000
 5.565818E+00 59 4.000000 6.000000 0.000000
 5.612707E+00 60 5.000000 5.000000 0.000000
 5.623543E+00 61 6.000000 4.000000 0.000000
 5.629397E+00 62 7.000000 3.000000 0.000000
 5.629603E+00 63 7.000000 3.000000 0.000000
 6.000718E+00 64 6.000000 4.000000 0.000000
 6.058218E+00 65 7.000000 3.000000 0.000000
 6.111935E+00 66 6.000000 4.000000 0.000000
 6.397656E+00 67 5.000000 5.000000 0.000000
 6.502005E+00 68 4.000000 6.000000 0.000000
 6.742661E+00 69 3.000000 7.000000 0.000000
 6.747294E+00 70 3.000000 7.000000 0.000000
 6.826311E+00 71 4.000000 6.000000 0.000000
 6.977168E+00 72 5.000000 5.000000 0.000000
 7.041399E+00 73 4.000000 6.000000 0.000000
 7.204547E+00 74 5.000000 5.000000 0.000000
 7.231234E+00 75 4.000000 6.000000 0.000000
 7.252177E+00 76 5.000000 5.000000 0.000000
 7.288280E+00 77 6.000000 4.000000 0.000000
 7.415612E+00 78 7.000000 3.000000 0.000000
 7.443668E+00 79 7.000000 3.000000 0.000000
 7.525934E+00 80 6.000000 4.000000 0.000000
 7.556488E+00 81 7.000000 3.000000 0.000000
 7.611019E+00 82 6.000000 4.000000 0.000000
 7.761647E+00 83 5.000000 5.000000 0.000000
 7.792142E+00 84 5.000000 5.000000 0.000000
 7.901632E+00 85 4.000000 6.000000 0.000000
 7.906592E+00 86 5.000000 5.000000 0.000000
 8.055227E+00 87 6.000000 4.000000 0.000000
 8.126557E+00 88 5.000000 5.000000 0.000000
 8.248169E+00 89 4.000000 6.000000 0.000000
 8.263337E+00 90 5.000000 5.000000 0.000000
 8.691042E+00 91 6.000000 4.000000 0.000000
 8.758438E+00 92 5.000000 5.000000 0.000000
 8.975375E+00 93 6.000000 4.000000 0.000000
 8.997503E+00 94 6.000000 4.000000 0.000000
 9.099569E+00 95 7.000000 3.000000 0.000000
 9.126111E+00 96 8.000000 2.000000 0.000000
 9.181282E+00 97 7.000000 3.000000 0.000000
 9.409345E+00 98 8.000000 2.000000 0.000000
 9.527315E+00 99 9.000000 1.000000 0.000000
 9.539503E+00 100 8.000000 2.000000 0.000000
