# Output of 'KaSim' 'essai.ka' -seed 757727998
# "uuid" : "927185018"
"[T]","'=-2'","'=-1'","'=0'","'=1'","'=2'","'>=-2'","'>=-1'","'>=0'","'>=1'","'>=2'","'<=-2'","'<=-1'","'<=0'","'<=1'","'<=2'"
0.,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
1.,53,21,12,6,1,93,40,19,7,1,53,74,86,92,93
2.,37,28,17,16,15,113,76,48,31,15,37,65,82,98,113
3.,34,20,20,9,13,96,62,42,22,13,34,54,74,83,96
4.,43,27,11,8,17,106,63,36,25,17,43,70,81,89,106
5.,50,27,20,11,14,122,72,45,25,14,50,77,97,108,122
6.,38,32,19,11,24,124,86,54,35,24,38,70,89,100,124
7.,44,38,16,13,27,138,94,56,40,27,44,82,98,111,138
8.,40,30,18,14,29,131,91,61,43,29,40,70,88,102,131
9.,41,32,23,6,20,122,81,49,26,20,41,73,96,102,122
10.,48,36,16,15,27,142,94,58,42,27,48,84,100,115,142
11.,57,36,17,9,30,149,92,56,39,30,57,93,110,119,149
12.,68,33,16,12,24,153,85,52,36,24,68,101,117,129,153
13.,58,40,20,11,22,151,93,53,33,22,58,98,118,129,151
14.,47,39,26,15,28,155,108,69,43,28,47,86,112,127,155
15.,56,33,19,13,27,148,92,59,40,27,56,89,108,121,148
16.,46,31,31,16,29,153,107,76,45,29,46,77,108,124,153
17.,54,31,17,9,25,136,82,51,34,25,54,85,102,111,136
18.,59,24,21,11,22,137,78,54,33,22,59,83,104,115,137
19.,56,38,16,14,20,144,88,50,34,20,56,94,110,124,144
20.,39,32,29,17,21,138,99,67,38,21,39,71,100,117,138
21.,42,28,20,19,25,134,92,64,44,25,42,70,90,109,134
22.,42,22,19,14,28,125,83,61,42,28,42,64,83,97,125
23.,58,32,23,8,28,149,91,59,36,28,58,90,113,121,149
24.,47,26,23,17,35,148,101,75,52,35,47,73,96,113,148
25.,52,30,21,25,40,168,116,86,65,40,52,82,103,128,168
26.,47,56,13,13,41,170,123,67,54,41,47,103,116,129,170
27.,50,30,21,15,34,150,100,70,49,34,50,80,101,116,150
28.,54,28,21,14,25,142,88,60,39,25,54,82,103,117,142
29.,46,32,22,16,19,135,89,57,35,19,46,78,100,116,135
30.,44,26,27,13,25,135,91,65,38,25,44,70,97,110,135
31.,47,33,21,18,26,145,98,65,44,26,47,80,101,119,145
32.,43,33,20,17,30,143,100,67,47,30,43,76,96,113,143
33.,50,31,22,13,32,148,98,67,45,32,50,81,103,116,148
34.,47,44,23,8,33,155,108,64,41,33,47,91,114,122,155
35.,37,24,18,15,30,124,87,63,45,30,37,61,79,94,124
36.,56,33,22,11,31,153,97,64,42,31,56,89,111,122,153
37.,36,28,25,20,29,138,102,74,49,29,36,64,89,109,138
38.,39,20,23,19,24,125,86,66,43,24,39,59,82,101,125
39.,52,27,25,8,22,134,82,55,30,22,52,79,104,112,134
40.,50,28,19,10,24,131,81,53,34,24,50,78,97,107,131
41.,41,34,20,8,26,129,88,54,34,26,41,75,95,103,129
42.,50,27,20,19,29,145,95,68,48,29,50,77,97,116,145
43.,43,30,12,14,24,123,80,50,38,24,43,73,85,99,123
44.,47,27,20,11,22,127,80,53,33,22,47,74,94,105,127
45.,55,20,21,11,27,134,79,59,38,27,55,75,96,107,134
46.,52,21,20,13,22,128,76,55,35,22,52,73,93,106,128
47.,42,39,13,12,25,131,89,50,37,25,42,81,94,106,131
