Correspondence between the short and original species names from:
	/Users/quyen/KaSim/models/CMSB2017_tool_paper/multisite_phos/e4/network_e4_without_symmetries.net

s0	: S(p1~U,p2~U,p3~U,p4~U)
s1	: F(s)
s2	: E(s)
s3	: E(s!1).S(p1~U!1,p2~U,p3~U,p4~U)
s4	: E(s!1).S(p1~U,p2~U!1,p3~U,p4~U)
s5	: E(s!1).S(p1~U,p2~U,p3~U!1,p4~U)
s6	: E(s!1).S(p1~U,p2~U,p3~U,p4~U!1)
s7	: E(s!1).S(p1~U!1,p2~U,p3~U,p4~U!2).E(s!2)
s8	: E(s!1).S(p1~U,p2~U!1,p3~U,p4~U!2).E(s!2)
s9	: E(s!1).S(p1~U,p2~U,p3~U!1,p4~U!2).E(s!2)
s10	: S(p1~U,p2~U,p3~U,p4~P)
s11	: E(s!1).S(p1~U!1,p2~U,p3~U,p4~P)
s12	: E(s!1).S(p1~U,p2~U!1,p3~U,p4~P)
s13	: E(s!1).S(p1~U,p2~U,p3~U!1,p4~P)
s14	: S(p1~U,p2~U,p3~U,p4~P!1).F(s!1)
s15	: E(s!1).S(p1~U!1,p2~U,p3~U,p4~P!2).F(s!2)
s16	: E(s!1).S(p1~U,p2~U!1,p3~U,p4~P!2).F(s!2)
s17	: E(s!1).S(p1~U,p2~U,p3~U!1,p4~P!2).F(s!2)
s18	: E(s!1).S(p1~U!1,p2~U,p3~U!2,p4~P!3).F(s!3).E(s!2)
s19	: E(s!1).S(p1~U,p2~U!1,p3~U!2,p4~P!3).F(s!3).E(s!2)
s20	: S(p1~U,p2~U,p3~P,p4~P!1).F(s!1)
s21	: E(s!1).S(p1~U!1,p2~U,p3~P,p4~P!2).F(s!2)
s22	: E(s!1).S(p1~U,p2~U!1,p3~P,p4~P!2).F(s!2)
s23	: S(p1~U,p2~U,p3~P!1,p4~P!2).F(s!1).F(s!2)
s24	: S(p1~U,p2~U,p3~P,p4~P)
s25	: S(p1~U,p2~U,p3~P,p4~U)
s26	: E(s!1).S(p1~U!1,p2~U,p3~P,p4~U)
s27	: E(s!1).S(p1~U,p2~U!1,p3~P,p4~U)
s28	: S(p1~U,p2~U,p3~P!1,p4~U).F(s!1)
s29	: E(s!1).S(p1~U,p2~U,p3~P,p4~U!1)
s30	: E(s!1).S(p1~U!1,p2~U,p3~P,p4~U!2).E(s!2)
s31	: E(s!1).S(p1~U,p2~U!1,p3~P,p4~U!2).E(s!2)
s32	: E(s!1).S(p1~U,p2~U,p3~P!2,p4~U!1).F(s!2)
s33	: E(s!1).S(p1~U!1,p2~U,p3~P!2,p4~U!3).F(s!2).E(s!3)
s34	: E(s!1).S(p1~U,p2~U!1,p3~P!2,p4~U!3).F(s!2).E(s!3)
s35	: S(p1~U,p2~U,p3~P!1,p4~P).F(s!1)
s36	: E(s!1).S(p1~U!1,p2~U,p3~P!2,p4~P).F(s!2)
s37	: E(s!1).S(p1~U,p2~U!1,p3~P!2,p4~P).F(s!2)
s38	: E(s!1).S(p1~U!1,p2~U!2,p3~P!3,p4~P).F(s!3).E(s!2)
s39	: S(p1~U,p2~P,p3~P!1,p4~P).F(s!1)
s40	: E(s!1).S(p1~U,p2~U!1,p3~P,p4~P)
s41	: E(s!1).S(p1~U,p2~U!1,p3~P!2,p4~P!3).F(s!2).F(s!3)
s42	: E(s!1).S(p1~U!1,p2~U!2,p3~P!3,p4~P!4).F(s!4).E(s!2).F(s!3)
s43	: S(p1~U,p2~P,p3~P!1,p4~P!2).F(s!1).F(s!2)
s44	: E(s!1).S(p1~U,p2~U!1,p3~P!2,p4~U).F(s!2)
s45	: E(s!1).S(p1~U!1,p2~U!2,p3~P!3,p4~U).F(s!3).E(s!2)
s46	: S(p1~U,p2~P,p3~P!1,p4~U).F(s!1)
s47	: E(s!1).S(p1~U!1,p2~P,p3~P!2,p4~U).F(s!2)
s48	: S(p1~U,p2~P!1,p3~P!2,p4~U).F(s!1).F(s!2)
s49	: S(p1~U,p2~P,p3~P,p4~U)
s50	: S(p1~U,p2~P,p3~U,p4~U)
s51	: E(s!1).S(p1~U,p2~P,p3~P!2,p4~U!1).F(s!2)
